local_id,neo4j_id,name,labels,props_json
26,1642,ST segment elevation in RV4,['ECGFinding'],"{""name"": ""ST segment elevation in RV4""}"
27,1643,ST segment depression in V1 and V2,['ECGFinding'],"{""name"": ""ST segment depression in V1 and V2""}"
28,1644,reciprocal ST depression in V1 and V2,['ECGFinding'],"{""name"": ""reciprocal ST depression in V1 and V2""}"
29,1646,reciprocal anterior ST segment depression,['ECGFinding'],"{""name"": ""reciprocal anterior ST segment depression""}"
30,1648,diffuse ST segment depression,['ECGFinding'],"{""name"": ""diffuse ST segment depression""}"
31,1650,elevation in aVR,['ECGFinding'],"{""name"": ""elevation in aVR""}"
32,1654,ST segment depression ≥1 mm,['ECGFinding'],"{""name"": ""ST segment depression ≥1 mm""}"
33,1656,anterior ST segment depression,['ECGFinding'],"{""name"": ""anterior ST segment depression""}"
34,1657,inferior ST segment elevation,['ECGFinding'],"{""name"": ""inferior ST segment elevation""}"
35,1658,Exaggerated ST segment elevation (≥5 mm),['ECGFinding'],"{""name"": ""Exaggerated ST segment elevation (≥5 mm)""}"
36,1659,Q wave,['ECGFinding'],"{""name"": ""Q wave""}"
37,1661,abnormal T waves,['ECGFinding'],"{""name"": ""abnormal T waves""}"
38,1662,ST segment changes in the same direction as the QRS complex,['ECGFinding'],"{""name"": ""ST segment changes in the same direction as the QRS complex""}"
39,1663,Exaggerated ST segment elevation (>5 mm),['ECGFinding'],"{""name"": ""Exaggerated ST segment elevation (>5 mm)""}"
40,1664,"Presence of Q waves in two of the lateral leads (I, aVL, V5, V6)",['ECGFinding'],"{""name"": ""Presence of Q waves in two of the lateral leads (I, aVL, V5, V6)""}"
41,1667,no ECG changes,['ECGFinding'],"{""name"": ""no ECG changes""}"
42,1668,"ST segment elevation in leads II, III, and aVF",['ECGFinding'],"{""name"": ""ST segment elevation in leads II, III, and aVF""}"
43,1669,less reciprocal ST depression in V1 and V2,['ECGFinding'],"{""name"": ""less reciprocal ST depression in V1 and V2""}"
44,1671,ST segment elevation in the right-sided lead rV4,['ECGFinding'],"{""name"": ""ST segment elevation in the right-sided lead rV4""}"
45,1672,more prominent reciprocal ST depression in V1,['ECGFinding'],"{""name"": ""more prominent reciprocal ST depression in V1""}"
46,1673,prominent R wave in V1,['ECGFinding'],"{""name"": ""prominent R wave in V1""}"
47,1674,ST segment elevation in V5 and V6,['ECGFinding'],"{""name"": ""ST segment elevation in V5 and V6""}"
48,1677,absence of reciprocal ST depression in I and aVL,['ECGFinding'],"{""name"": ""absence of reciprocal ST depression in I and aVL""}"
49,1680,"ST segment elevation in the precordial leads V1, V2, V3, and V4",['ECGFinding'],"{""name"": ""ST segment elevation in the precordial leads V1, V2, V3, and V4""}"
50,1681,ST segment elevation in leads I and aVL,['ECGFinding'],"{""name"": ""ST segment elevation in leads I and aVL""}"
51,1683,ST depression,['ECGFinding'],"{""name"": ""ST depression""}"
52,1685,ST segment elevation in leads aVR and V1,['ECGFinding'],"{""name"": ""ST segment elevation in leads aVR and V1""}"
53,1687,diffuse ST segment depression in the inferolateral leads,['ECGFinding'],"{""name"": ""diffuse ST segment depression in the inferolateral leads""}"
54,1690,Atrioventricular (AV) block,['ECGFinding'],"{""name"": ""Atrioventricular (AV) block""}"
55,1691,inverted T wave,['ECGFinding'],"{""name"": ""inverted T wave""}"
56,1692,reciprocal ST depression in aVL,['ECGFinding'],"{""name"": ""reciprocal ST depression in aVL""}"
57,1694,occlusion of the circumflex coronary artery,['ECGFinding'],"{""name"": ""occlusion of the circumflex coronary artery""}"
58,1695,ST segment elevation in the inferior and lateral leads,['ECGFinding'],"{""name"": ""ST segment elevation in the inferior and lateral leads""}"
59,1697,inferolateral ST segment elevation,['ECGFinding'],"{""name"": ""inferolateral ST segment elevation""}"
60,1698,reciprocal ST segment depression in aVL,['ECGFinding'],"{""name"": ""reciprocal ST segment depression in aVL""}"
61,1703,ST segment changes,['ECGFinding'],"{""name"": ""ST segment changes""}"
62,1707,myocardial infarction,['ECGFinding'],"{""name"": ""myocardial infarction""}"
63,1708,myocardial ischemia,['ECGFinding'],"{""name"": ""myocardial ischemia""}"
64,1709,reperfusion,['ECGFinding'],"{""name"": ""reperfusion""}"
65,1711,myocardial ischemia/infarction,['ECGFinding'],"{""name"": ""myocardial ischemia/infarction""}"
66,1715,T wave peaking,['ECGFinding'],"{""name"": ""T wave peaking""}"
67,1716,Q waves,['ECGFinding'],"{""name"": ""Q waves""}"
68,1717,normal ECG,['ECGFinding'],"{""name"": ""normal ECG""}"
69,1718,ST-segment elevation,['ECGFinding'],"{""name"": ""ST-segment elevation""}"
70,1719,ST-segment depression,['ECGFinding'],"{""name"": ""ST-segment depression""}"
71,1720,T-wave inversion,['ECGFinding'],"{""name"": ""T-wave inversion""}"
72,1721,reciprocal changes,['ECGFinding'],"{""name"": ""reciprocal changes""}"
73,1722,T-wave peaked,['ECGFinding'],"{""name"": ""T-wave peaked""}"
74,1723,ST segment depression,['ECGFinding'],"{""name"": ""ST segment depression""}"
75,1724,peaked T waves,['ECGFinding'],"{""name"": ""peaked T waves""}"
76,1725,inverted T waves,['ECGFinding'],"{""name"": ""inverted T waves""}"
77,1726,peaked or 'hyperacute' T waves,['ECGFinding'],"{""name"": ""peaked or 'hyperacute' T waves""}"
78,1728,TP segment depression,['ECGFinding'],"{""name"": ""TP segment depression""}"
79,1729,early and exaggerated upright T wave,['ECGFinding'],"{""name"": ""early and exaggerated upright T wave""}"
80,1731,ST depression (reciprocal changes),['ECGFinding'],"{""name"": ""ST depression (reciprocal changes)""}"
81,1732,reciprocal ST segment depression,['ECGFinding'],"{""name"": ""reciprocal ST segment depression""}"
82,1734,abnormal Q waves,['ECGFinding'],"{""name"": ""abnormal Q waves""}"
83,1735,decrease in the amplitude of the R waves,['ECGFinding'],"{""name"": ""decrease in the amplitude of the R waves""}"
84,1738,T wave inversion,['ECGFinding'],"{""name"": ""T wave inversion""}"
85,1739,ST segment depression associated with chest pain,['ECGFinding'],"{""name"": ""ST segment depression associated with chest pain""}"
86,1740,isolated ST segment depression in the anterior leads V2 and V3,['ECGFinding'],"{""name"": ""isolated ST segment depression in the anterior leads V2 and V3""}"
87,1742,horizontal ST segment depression,['ECGFinding'],"{""name"": ""horizontal ST segment depression""}"
88,1743,ST segment depression associated with left ventricular hypertrophy,['ECGFinding'],"{""name"": ""ST segment depression associated with left ventricular hypertrophy""}"
89,1744,dynamic ST segment depression,['ECGFinding'],"{""name"": ""dynamic ST segment depression""}"
