src,dst,src_neo4j_id,dst_neo4j_id,rel,edge_type,evidence,props_json
9,408,1617,1701,SUPPORTS,SUPPORTS,The absence of accompanying inferior ST segment elevation may be due to associated injury of the inferior wall.,"{""evidence_text"": ""The absence of accompanying inferior ST segment elevation may be due to associated injury of the inferior wall."", ""chunk_index"": 0, ""section_title"": ""Anterior Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 2}"
10,410,1618,1705,INDICATES,INDICATES,"Compare the reciprocal changes in the inferior leads in the anterior wall myocardial infarctions shown in Figs. 7.12 , 7.13 , and 7.14.","{""evidence_text"": ""Compare the reciprocal changes in the inferior leads in the anterior wall myocardial infarctions shown in Figs. 7.12 , 7.13 , and 7.14."", ""chunk_index"": 0, ""section_title"": ""Anterior Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 2}"
11,378,1619,1620,INDICATES,INDICATES,Right bundle branch block due to an anterior wall myocardial infarction occurs in approximately 5–10% of anterior wall myocardial infarctions.,"{""evidence_text"": ""Right bundle branch block due to an anterior wall myocardial infarction occurs in approximately 5–10% of anterior wall myocardial infarctions."", ""chunk_index"": 0, ""section_title"": ""Anterior Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 4}"
11,379,1619,1622,SUPPORTS,SUPPORTS,Right bundle branch block due to an anterior wall myocardial infarction...should arouse suspicion of a proximal lesion in the left anterior descending coronary artery.,"{""evidence_text"": ""Right bundle branch block due to an anterior wall myocardial infarction...should arouse suspicion of a proximal lesion in the left anterior descending coronary artery."", ""chunk_index"": 0, ""section_title"": ""Anterior Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 4}"
12,379,1621,1622,SUPPORTS,SUPPORTS,Left anterior fascicular block...frequently in conjunction with right bundle branch block since they have a similar blood supply.,"{""evidence_text"": ""Left anterior fascicular block...frequently in conjunction with right bundle branch block since they have a similar blood supply."", ""chunk_index"": 0, ""section_title"": ""Anterior Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 4}"
12,378,1621,1620,INDICATES,INDICATES,Left anterior fascicular block also develops in 7–15% of anterior wall myocardial infarctions.,"{""evidence_text"": ""Left anterior fascicular block also develops in 7–15% of anterior wall myocardial infarctions."", ""chunk_index"": 0, ""section_title"": ""Anterior Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 4}"
13,410,1623,1705,SUPPORTS,SUPPORTS,"With evolution of the myocardial infarction, the ST segment abnormalities gradually resolve.","{""evidence_text"": ""With evolution of the myocardial infarction, the ST segment abnormalities gradually resolve."", ""chunk_index"": 0, ""section_title"": ""Anterior Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 5}"
14,410,1624,1705,SUPPORTS,SUPPORTS,the T wave frequently becomes inverted.,"{""evidence_text"": ""the T wave frequently becomes inverted."", ""chunk_index"": 0, ""section_title"": ""Anterior Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 5}"
15,380,1625,1626,INDICATES,INDICATES,"Occlusion of the right coronary artery will cause injury to the inferior wall of the heart and lead to ST segment elevation in the inferior leads (II, III, and aVF).","{""evidence_text"": ""Occlusion of the right coronary artery will cause injury to the inferior wall of the heart and lead to ST segment elevation in the inferior leads (II, III, and aVF)."", ""chunk_index"": 0, ""section_title"": ""Inferior Myocardial Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
16,381,1627,1628,IS_SPECIFIC_FOR,IS_SPECIFIC_FOR,"In patients where the inferior wall myocardial infarction is due to occlusion of the right coronary artery, the ST segment elevation in lead III is usually more prominent than that in lead II.","{""evidence_text"": ""In patients where the inferior wall myocardial infarction is due to occlusion of the right coronary artery, the ST segment elevation in lead III is usually more prominent than that in lead II."", ""chunk_index"": 0, ""section_title"": ""Inferior Myocardial Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
17,380,1629,1626,SUPPORTS,SUPPORTS,"In addition, reciprocal ST depression is usually prominently seen in I and aVL, since these lateral leads 'look' at the infarcted region through normal tissue.","{""evidence_text"": ""In addition, reciprocal ST depression is usually prominently seen in I and aVL, since these lateral leads 'look' at the infarcted region through normal tissue."", ""chunk_index"": 0, ""section_title"": ""Inferior Myocardial Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
17,398,1629,1676,INDICATES,INDICATES,right coronary artery involvement is associated with reciprocal ST depression in leads I and aVL.,"{""evidence_text"": ""right coronary artery involvement is associated with reciprocal ST depression in leads I and aVL."", ""chunk_index"": 0, ""section_title"": ""Infarction Type and ECG Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
18,382,1630,1631,IS_SPECIFIC_FOR,IS_SPECIFIC_FOR,"Conversely, inferior wall myocardial infarction associated with occlusion of the circumflex coronary artery will generally have prominent ST segment elevation in lead II compared to the other inferior leads.","{""evidence_text"": ""Conversely, inferior wall myocardial infarction associated with occlusion of the circumflex coronary artery will generally have prominent ST segment elevation in lead II compared to the other inferior leads."", ""chunk_index"": 0, ""section_title"": ""Inferior Myocardial Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
19,383,1632,1633,INDICATES,INDICATES,"By ECG criteria, a posterior myocardial infarction is present when a prominent R wave is noted in lead V1.","{""evidence_text"": ""By ECG criteria, a posterior myocardial infarction is present when a prominent R wave is noted in lead V1."", ""chunk_index"": 0, ""section_title"": ""Inferior Myocardial Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 1}"
20,383,1634,1633,SUPPORTS,SUPPORTS,"In addition to the prominent R wave, posterior myocardial infarction is usually associated with significant ST segment depression.","{""evidence_text"": ""In addition to the prominent R wave, posterior myocardial infarction is usually associated with significant ST segment depression."", ""chunk_index"": 0, ""section_title"": ""Inferior Myocardial Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 1}"
21,383,1635,1633,SUPPORTS,SUPPORTS,"In addition to the prominent R wave, posterior myocardial infarction is usually associated with significant ST segment depression and an upright T wave.","{""evidence_text"": ""In addition to the prominent R wave, posterior myocardial infarction is usually associated with significant ST segment depression and an upright T wave."", ""chunk_index"": 0, ""section_title"": ""Inferior Myocardial Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 1}"
22,410,1636,1705,INDICATES,INDICATES,the prominent R wave actually represents a Q wave,"{""evidence_text"": ""the prominent R wave actually represents a Q wave"", ""chunk_index"": 1, ""section_title"": ""Inferior Myocardial Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 1}"
23,407,1637,1699,INDICATES,INDICATES,"In an inferior wall myocardial infarction due to right coronary artery occlusion, equal ST segment elevation is observed in II, aVF, and III","{""evidence_text"": ""In an inferior wall myocardial infarction due to right coronary artery occlusion, equal ST segment elevation is observed in II, aVF, and III"", ""chunk_index"": 0, ""section_title"": ""Lateral Myocardial Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 2}"
24,384,1638,1639,INDICATES,INDICATES,occlusion of the circumflex artery is associated with absent reciprocal changes in leads I and aVL,"{""evidence_text"": ""occlusion of the circumflex artery is associated with absent reciprocal changes in leads I and aVL"", ""chunk_index"": 0, ""section_title"": ""Lateral Myocardial Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 2}"
25,385,1640,1641,INDICATES,INDICATES,"However, if a proximal occlusion of the right coronary artery causes both an inferior wall and right ventricular infarction, lack of reciprocal changes or even frank ST segment elevation will be observed in leads V1 and V2 due to injury of the right ventricle.","{""evidence_text"": ""However, if a proximal occlusion of the right coronary artery causes both an inferior wall and right ventricular infarction, lack of reciprocal changes or even frank ST segment elevation will be observed in leads V1 and V2 due to injury of the right ventricle."", ""chunk_index"": 0, ""section_title"": ""Right Ventricular Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
26,385,1642,1641,SUPPORTS,SUPPORTS,ST segment elevation in RV4 is an excellent ECG sign for the presence of a right ventricular infarction.,"{""evidence_text"": ""ST segment elevation in RV4 is an excellent ECG sign for the presence of a right ventricular infarction."", ""chunk_index"": 0, ""section_title"": ""Right Ventricular Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 1}"
26,385,1642,1641,INDICATES,INDICATES,ST segment elevation in RV4 is a relatively insensitive but very specific finding in the setting of right ventricular involvement.,"{""evidence_text"": ""ST segment elevation in RV4 is a relatively insensitive but very specific finding in the setting of right ventricular involvement."", ""chunk_index"": 0, ""section_title"": ""Right Ventricular Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 1}"
27,380,1643,1626,INDICATES,INDICATES,"In general, the amount of ST segment depression observed in V1 and V2 should match the amount of ST segment elevation in the inferior leads.","{""evidence_text"": ""In general, the amount of ST segment depression observed in V1 and V2 should match the amount of ST segment elevation in the inferior leads."", ""chunk_index"": 0, ""section_title"": ""Right Ventricular Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 2}"
28,385,1644,1641,INDICATES,INDICATES,"If the reciprocal ST depression is less than expected, one should consider the presence of a right ventricular infarction.","{""evidence_text"": ""If the reciprocal ST depression is less than expected, one should consider the presence of a right ventricular infarction."", ""chunk_index"": 0, ""section_title"": ""Right Ventricular Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 2}"
28,386,1644,1645,INDICATES,INDICATES,"if the reciprocal ST depression in V1 and V2 is more prominent than the inferior ST segment elevation, accompanying posterior wall myocardial infarction should be considered.","{""evidence_text"": ""if the reciprocal ST depression in V1 and V2 is more prominent than the inferior ST segment elevation, accompanying posterior wall myocardial infarction should be considered."", ""chunk_index"": 0, ""section_title"": ""Right Ventricular Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 2}"
29,385,1646,1641,SUPPORTS,SUPPORTS,the utility of the reciprocal anterior ST segment will be reduced because the right ventricular infarction will tend to reduce the reciprocal ST depression,"{""evidence_text"": ""the utility of the reciprocal anterior ST segment will be reduced because the right ventricular infarction will tend to reduce the reciprocal ST depression"", ""chunk_index"": 1, ""section_title"": ""Right Ventricular Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 2}"
30,388,1648,1649,INDICATES,INDICATES,diffuse ST segment depression is often observed...,"{""evidence_text"": ""diffuse ST segment depression is often observed..."", ""chunk_index"": 0, ""section_title"": ""Left Main"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
30,390,1648,1652,SUPPORTS,SUPPORTS,diffuse ischemia associated with left main occlusion/ischemia will be associated as elevation in aVR.,"{""evidence_text"": ""diffuse ischemia associated with left main occlusion/ischemia will be associated as elevation in aVR."", ""chunk_index"": 0, ""section_title"": ""Left Main"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
31,389,1650,1651,INDICATES,INDICATES,isolated ST segment elevation in aVR should raise concern for occlusion or narrowing of the left main coronary artery.,"{""evidence_text"": ""isolated ST segment elevation in aVR should raise concern for occlusion or narrowing of the left main coronary artery."", ""chunk_index"": 0, ""section_title"": ""Left Main"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
32,392,1654,1655,INDICATES,INDICATES,Similarly ST segment depression ≥1 mm in the right precordial leads (V1 through V3) should arouse suspicion of myocardial ischemia/infarction in a patient complaining of chest pain.,"{""evidence_text"": ""Similarly ST segment depression ≥1 mm in the right precordial leads (V1 through V3) should arouse suspicion of myocardial ischemia/infarction in a patient complaining of chest pain."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""Myocardial Infarction in the Presence of Bundle Branch Block"", ""paragraph_index"": 0}"
33,409,1656,1704,INDICATES,INDICATES,"The anterior ST segment depression has resolved, highlighting the importance of evaluating the ECG for dynamic changes if possible.","{""evidence_text"": ""The anterior ST segment depression has resolved, highlighting the importance of evaluating the ECG for dynamic changes if possible."", ""chunk_index"": 1, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""Myocardial Infarction in the Presence of Bundle Branch Block"", ""paragraph_index"": 0}"
33,392,1656,1655,SUPPORTS,SUPPORTS,There is significant anterior ST segment depression in leads with predominantly negative QRS complexes.,"{""evidence_text"": ""There is significant anterior ST segment depression in leads with predominantly negative QRS complexes."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""Myocardial Infarction in the Presence of Bundle Branch Block"", ""paragraph_index"": 0}"
34,410,1657,1705,IS_SPECIFIC_FOR,IS_SPECIFIC_FOR,In this case inferior ST segment elevation would not be expected in leads with positive QRS complexes.,"{""evidence_text"": ""In this case inferior ST segment elevation would not be expected in leads with positive QRS complexes."", ""chunk_index"": 1, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""Myocardial Infarction in the Presence of Bundle Branch Block"", ""paragraph_index"": 0}"
35,410,1658,1705,INDICATES,INDICATES,Exaggerated ST segment elevation (≥5 mm) should also arouse suspicion of a myocardial infarction,"{""evidence_text"": ""Exaggerated ST segment elevation (≥5 mm) should also arouse suspicion of a myocardial infarction"", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""Myocardial Infarction in the Presence of Bundle Branch Block"", ""paragraph_index"": 1}"
36,393,1659,1660,IS_SPECIFIC_FOR,IS_SPECIFIC_FOR,"the presence of a Q wave (> 30 ms) in two or more lateral leads (I, aVL, V5, or V6) is a fairly specific finding for the presence of a remote anterior myocardial infarction","{""evidence_text"": ""the presence of a Q wave (> 30 ms) in two or more lateral leads (I, aVL, V5, or V6) is a fairly specific finding for the presence of a remote anterior myocardial infarction"", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""Myocardial Infarction in the Presence of Bundle Branch Block"", ""paragraph_index"": 2}"
36,410,1659,1705,INDICATES,INDICATES,"Myocardial infarction can also cause changes in the QRS complex, usually an initially negative deflection called a Q wave.","{""evidence_text"": ""Myocardial infarction can also cause changes in the QRS complex, usually an initially negative deflection called a Q wave."", ""chunk_index"": 0, ""section_title"": ""Key Points"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 3}"
37,410,1661,1705,SUPPORTS,SUPPORTS,"Right bundle branch block can be commonly associated with abnormal T waves, so evaluation of T wave morphology can become problematic.","{""evidence_text"": ""Right bundle branch block can be commonly associated with abnormal T waves, so evaluation of T wave morphology can become problematic."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""Myocardial Infarction in the Presence of Bundle Branch Block"", ""paragraph_index"": 3}"
38,410,1662,1705,INDICATES,INDICATES,Acute: ST segment changes in the same direction as the QRS complex.,"{""evidence_text"": ""Acute: ST segment changes in the same direction as the QRS complex."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""Myocardial Infarction in the Presence of Bundle Branch Block"", ""paragraph_index"": 4}"
39,410,1663,1705,INDICATES,INDICATES,Exaggerated ST segment elevation (>5 mm).,"{""evidence_text"": ""Exaggerated ST segment elevation (>5 mm)."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""Myocardial Infarction in the Presence of Bundle Branch Block"", ""paragraph_index"": 4}"
40,394,1664,1665,IS_SPECIFIC_FOR,IS_SPECIFIC_FOR,"Old infarction: Presence of Q waves in two of the lateral leads (I, aVL, V5, V6).","{""evidence_text"": ""Old infarction: Presence of Q waves in two of the lateral leads (I, aVL, V5, V6)."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""Myocardial Infarction in the Presence of Bundle Branch Block"", ""paragraph_index"": 4}"
41,410,1667,1705,SUPPORTS,SUPPORTS,"ST segment depression, T wave inversion, and sometimes no ECG changes may be seen.","{""evidence_text"": ""ST segment depression, T wave inversion, and sometimes no ECG changes may be seen."", ""chunk_index"": 0, ""section_title"": ""Key Points"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 4}"
42,380,1668,1626,INDICATES,INDICATES,"Inferior wall myocardial infarction is characterized by ST segment elevation in leads II, III, and aVF.","{""evidence_text"": ""Inferior wall myocardial infarction is characterized by ST segment elevation in leads II, III, and aVF."", ""chunk_index"": 0, ""section_title"": ""Infarction Type and ECG Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
43,396,1669,1670,SUPPORTS,SUPPORTS,"When interpreting the ECG, it is important to assess whether the right ventricle is involved, which may be suggested by less reciprocal ST depression in V1 and V2.","{""evidence_text"": ""When interpreting the ECG, it is important to assess whether the right ventricle is involved, which may be suggested by less reciprocal ST depression in V1 and V2."", ""chunk_index"": 0, ""section_title"": ""Infarction Type and ECG Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
44,396,1671,1670,SUPPORTS,SUPPORTS,"When interpreting the ECG, it is important to assess whether the right ventricle is involved, which may be suggested by [...] ST segment elevation in the right-sided lead rV4.","{""evidence_text"": ""When interpreting the ECG, it is important to assess whether the right ventricle is involved, which may be suggested by [...] ST segment elevation in the right-sided lead rV4."", ""chunk_index"": 0, ""section_title"": ""Infarction Type and ECG Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
45,387,1672,1647,INDICATES,INDICATES,"Posterior wall involvement should also be considered, indicated by more prominent reciprocal ST depression in V1.","{""evidence_text"": ""Posterior wall involvement should also be considered, indicated by more prominent reciprocal ST depression in V1."", ""chunk_index"": 0, ""section_title"": ""Infarction Type and ECG Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
46,387,1673,1647,SUPPORTS,SUPPORTS,"Posterior wall involvement should also be considered, indicated by [...] the presence of a prominent R wave in V1.","{""evidence_text"": ""Posterior wall involvement should also be considered, indicated by [...] the presence of a prominent R wave in V1."", ""chunk_index"": 0, ""section_title"": ""Infarction Type and ECG Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
47,397,1674,1675,INDICATES,INDICATES,"In addition, lateral wall involvement may be suggested by ST segment elevation in V5 and V6.","{""evidence_text"": ""In addition, lateral wall involvement may be suggested by ST segment elevation in V5 and V6."", ""chunk_index"": 0, ""section_title"": ""Infarction Type and ECG Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
48,399,1677,1678,INDICATES,INDICATES,whereas circumflex artery involvement is suggested by the absence of reciprocal ST depression in I and aVL.,"{""evidence_text"": ""whereas circumflex artery involvement is suggested by the absence of reciprocal ST depression in I and aVL."", ""chunk_index"": 0, ""section_title"": ""Infarction Type and ECG Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
49,378,1680,1620,INDICATES,INDICATES,"Anterior wall myocardial infarction presents with ST segment elevation in the precordial leads V1, V2, V3, and V4.","{""evidence_text"": ""Anterior wall myocardial infarction presents with ST segment elevation in the precordial leads V1, V2, V3, and V4."", ""chunk_index"": 0, ""section_title"": ""Infarction Type and ECG Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 2}"
50,401,1681,1682,SUPPORTS,SUPPORTS,"ECG interpretation should include assessment of whether the lesion is proximal, which may be indicated by ST segment elevation in leads I and aVL.","{""evidence_text"": ""ECG interpretation should include assessment of whether the lesion is proximal, which may be indicated by ST segment elevation in leads I and aVL."", ""chunk_index"": 0, ""section_title"": ""Infarction Type and ECG Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 2}"
51,409,1683,1704,INDICATES,INDICATES,the ST depression actually represents ST elevation,"{""evidence_text"": ""the ST depression actually represents ST elevation"", ""chunk_index"": 1, ""section_title"": ""Inferior Myocardial Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 1}"
52,402,1685,1686,INDICATES,INDICATES,Left main coronary artery involvement is suggested by ST segment elevation in leads aVR and V1,"{""evidence_text"": ""Left main coronary artery involvement is suggested by ST segment elevation in leads aVR and V1"", ""chunk_index"": 0, ""section_title"": ""Infarction Type and ECG Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 3}"
53,403,1687,1688,INDICATES,INDICATES,This ECG pattern reflects widespread myocardial ischemia rather than a localized infarction.,"{""evidence_text"": ""This ECG pattern reflects widespread myocardial ischemia rather than a localized infarction."", ""chunk_index"": 0, ""section_title"": ""Infarction Type and ECG Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 3}"
54,380,1690,1626,IS_SPECIFIC_FOR,IS_SPECIFIC_FOR,Atrioventricular (AV) block is most commonly associated with inferior wall myocardial infarction.,"{""evidence_text"": ""Atrioventricular (AV) block is most commonly associated with inferior wall myocardial infarction."", ""chunk_index"": 0, ""section_title"": ""Review"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 1}"
